State,Result,Expansions,Time,Difficulty,Color
"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 1, -1, 1, -1, 0, -1, 1, 1, -1, 0, 0]",29,10,0.012399673461914062,3,-1
"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 1, 1, 1, 1, 0]",35,1,0.0024793148040771484,3,-1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,3,0.0009915828704833984,1,-1
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,0.0014882087707519531,1,-1
"[0, 1, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,5,0.00148773193359375,1,-1
"[0, 1, 1, 1, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, -1, -1, 0, 1, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,5,0.0014886856079101562,1,-1
"[0, 1, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, -1, -1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24,5,0.0020122528076171875,1,-1
"[0, 1, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, -1, -1, 0, 1, 1, 1, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12,5,0.001983642578125,1,-1
"[0, 1, 1, 1, 0, -1, 0, 0, -1, 1, -1, 0, -1, 0, -1, -1, 1, 1, -1, 1, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22,6,0.0029757022857666016,1,-1
"[0, 1, 1, 1, 0, -1, 0, 0, -1, 1, -1, 0, -1, 0, -1, 1, -1, 1, -1, -1, -1, 1, 1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",23,6,0.0029757022857666016,1,-1
"[0, 1, 1, 1, 0, -1, 0, 0, -1, 1, -1, 0, -1, 0, -1, 1, -1, 1, -1, -1, -1, -1, 1, 1, -1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",4,4,0.0029754638671875,1,-1
"[0, 1, 1, 1, -1, -1, 0, 0, 1, -1, -1, 0, -1, 1, 1, 1, -1, 1, -1, -1, 1, -1, 1, 1, -1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0,5,0.0034711360931396484,1,-1
"[-1, -1, -1, -1, -1, -1, 0, 0, 1, -1, -1, 0, -1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1, 1, -1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",26,6,0.004436492919921875,1,-1
"[-1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",28,5,0.003444194793701172,1,-1
"[-1, -1, -1, -1, -1, -1, 1, 0, -1, -1, -1, 0, 1, 1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0]",7,2,0.00247955322265625,1,-1
"[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, 1, -1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 0, 1, 0, 0, 0]",31,3,0.0034737586975097656,1,-1
"[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, 1, -1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 0, 0]",34,2,0.003473043441772461,1,-1
"[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, 1, -1, -1, 1, -1, 1, 1, 1, -1, -1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1]",,0,0.00148773193359375,1,-1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22,78,0.019343137741088867,3,-1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3,180,0.0510869026184082,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",24,147,0.04860806465148926,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 1, 1, 0, 0, 0, -1, 1, 1, 1, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",23,174,0.06100869178771973,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 1, 1, 0, 1, 0, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,187,0.07191967964172363,3,-1
"[0, -1, 1, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 1, -1, 0, 1, 0, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",,49,0.022324800491333008,3,-1
"[0, -1, 1, -1, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, 1, 0, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,0.0014607906341552734,3,1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22,78,0.019342899322509766,3,-1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3,180,0.05108785629272461,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",24,147,0.048607826232910156,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 1, 1, 0, 0, 0, -1, 1, 1, 1, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",23,174,0.0600433349609375,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 1, 1, 0, 1, 0, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,187,0.07244372367858887,3,-1
